V1,Source,Q118_4,Q118_5,Q118_6,Q118_7,Q118_8,Q118_9,Q118_10,Q118_11,Q118_12,Q118_13,Q118_14,Q118_15,Q118_16,Q118_17,Q118_18,Q118_19,Q118_20,Q118_21,YEAR
R_e3Wd4JFpNayg7Rz,0, , , , , , , , , , , , , , , , , , ,2015
R_cJ5G9kTKGddWdh3,0,4,4,3,2,4,3,3,3,3,2,4,3,3,2,2,2,2,2,2015
R_4ZOX8ddebqNSSep,0,4,2,4,1,4,4,2,1,4,1,2,1,3,1,4,2,4,1,2015
R_5znnAnzQuXPpTs9,0,2,3,2,3,2,3,3,2,3,2,2,3,3,3,2,3,4,3,2015
R_8cbsBItSi8f01Mx,0,2,2,1,3,2,2,3,3,2,2,2,2,3,1,3,2,1,4,2015
R_1H3RLxr2cGOO3Zj,0,3,2,4,1,2,3,1,4,3,1,4,1,2,4,1,4,4,1,2015
R_1KRCFvYQZUwCv2J,0,2,2,1,1,3,3,1,3,4,1,3,2,2,4,1,3,2,4,2015
R_25Zh7iPXFWRRsvr,0,3,3,4,2,1,3,1,4,3,1,3,2,4,2,1,3,3,1,2015
R_3geUCQujJmY7TV3,0,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,3,2015
R_42V7wsXhNGLNDUx,0,2,2,3,2,3,2,3,3,3,2,3,2,2,3,2,2,3,2,2015
R_576LN9Rlz7CiNlH,0,3,3,2,2,2,2,1,3,1,1,3,1,2,1,4,2,2,2,2015
R_5nccv37jfNa8thz,0,3,3,3,1,4,3,2,2,3,2,4,2,3,2,2,3,3,2,2015
R_b4t8X80kqENMsfj,0,4,1,3,1,3,3,1,3,3,1,4,1,2,2,1,2,3,1,2015
R_cBlJb0ySzxHeIzH,0,3,2,2,1,3,3,1,3,3,1,3,3,2,3,2,3,2,2,2015
R_6G2acAKRZeyIO2N,0,2,3,1,4,2,1,3,1,1,2,3,4,4,1,4,1,3,1,2015
R_eyusKE8xA715U7r,0,3,1,3,3, ,4,2,1,2,2,3,4,3,4,2,1,2,4,2015
R_3UBHqsmb7qHjQq1,0,4,2,3,1,2,3,3,2,3,2, ,3,1, ,2,3,4,1,2015
R_6YhzwJjFS6bot2l,0,3,2,4,3,4, ,1,4,4,1,2,1,2,4,2,4,4,1,2015
R_2r85myFl9fYK9IV,0,4,3,1,1,2,3,1,3,2,1,3,1,2,3,1,2,1,3,2015
R_3aztkqx2oGRNIsR,0,4,3,3,2,3,3,1,4,2,2,4,1,4,2,2,3,2,2,2015
R_6tGxUi7thYU4S7b,0,3,3,2,4,2,3,2,3,2,1,4,3,2,2,2,2,3,2,2015
R_aggdgSV8kkxEx5H,0,4,2,4,1,4,4,1,4,3,1,4,1,1,3,1,3,4,1,2015
R_5tAYqRJnfNFpmkt,0, , , , , , , , , , , , , , , , , , ,2015
R_6Gds1sJBnwhNCwl,0,2,2,1,2,3,4,1,3,2,1,3,2,1,3,1,2,3,2,2015
R_6z1abz4BwR46oVn,0,3,4,3,2,3,4,3,3,3,4,3,3,2,3,4,3,4,3,2015
R_8vHJ5D4MJQtSpkp,0,3,4,2,3,2,2,2,3,2,1,2,2,3,2,3,2,2,1,2015
