Question,Differences,Which Items Effected,Negative or Positive,Items Stronger Randomized
1,3,"2, 12, 15",2 Negative; 1 Positive,2 & 12
2,9,"1, 3, 4, 8, 9, 
15, 18, 19, 20",8 Negative; 1 Positive,"1, 3, 4, 8, 9, 
18, 19, 20"
3,1,2,1 Negative,2
4,2,"2, 15",1 Negative; 1 Positive,2
5,2,"9, 15",1 Negative; 1 Positive,9
6,2,"12, 15",2 Positive,N/A
7,2,"17, 19",2 Positive,N/A
8,1,2,1 Negative,2
9,3,"2, 5, 15",2 Negative; 1 Positive,2 & 5
10,2,"12, 15",2 Positive,N/A
11,3,"12, 15, 20",3 Positive,N/A
12,6,"1, 6, 10, 11, 14, 20",2 Negative; 4 Positive,1 & 14
13,0,N/A,N/A,N/A
14,2,"12, 18",2 Negative,12 & 18
15,10,"1, 2, 4, 5, 6, 9, 
10, 11, 17, 19",10 Positive,N/A
16,0,N/A,N/A,N/A
17,4,"7, 15, 18, 19",4 Positive,N/A
18,3,"2, 14, 17",2 Negative; 1 Positive,2 & 14
19,5,"2, 7, 15, 17, 20",1 Negative; 4 Positive,2
20,4,"2, 11, 12, 19",1 Negative; 3 Positive,2
